Occupation,Career_Cluster,Career_Pathway,Top_10_Skills
"Buyers and Purchasing Agents, Farm Products","Agriculture, Food & Natural Resources",Agribusiness Systems,"negotiation_398,communication_367,purchasing_339,procurement_324,supply chain management_285,inventory management_282,data analysis_179,problem solving_170,communication skills_167,attention to detail_158"
Farm Labor Contractors,"Agriculture, Food & Natural Resources",Agribusiness Systems,"communication_107,leadership_59,customer service_59,time management_50,quality control_47,project management_47,driver's license_44,scheduling_43,training_41,problem solving_29"
"Farmers, Ranchers, and Other Agricultural Managers","Agriculture, Food & Natural Resources",Agribusiness Systems,"communication_99,leadership_70,customer service_50,time management_40,quality control_38,nursery management_38,team management_36,childcare_35,problem solving_32,project management_32"
Animal Breeders,"Agriculture, Food & Natural Resources",Animal Systems,"animal care_1,husbandry_1,cage change_1,cleaning_1,power wash_1,chemical dispensing equipment_1,facility sanitization_1,milking_1,restraint_1,veterinary care_1"
Animal Caretakers,"Agriculture, Food & Natural Resources",Animal Systems,"personal care_15,compassion_13,mobility assistance_12,smartphone_11,care assistant_10,communication_10,customer service_10,cooking_9,animal care_9,cleaning_8"
Animal Scientists,"Agriculture, Food & Natural Resources",Animal Systems,"data analysis_132,molecular biology_65,communication_54,chemistry_49,teamwork_46,project management_44,problem solving_44,elisa_43,research_43,communication skills_42"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","Agriculture, Food & Natural Resources",Animal Systems,"driver's license_22,maintenance_20,electrical work_18,communication_17,minor repairs_16,problemsolving_15,w9 arrangement_15,installations_15,handyman skills_14,interpersonal skills_14"
Environmental Engineering Technologists and Technicians,"Agriculture, Food & Natural Resources",Environmental Service Systems,"customer service_393,valid driver's license_319,communication_241,ability to work at heights_213,ability to lift heavy objects_194,problemsolving_162,troubleshooting_156,teamwork_155,communication skills_153,ability to travel_146"
Environmental Engineers,"Agriculture, Food & Natural Resources",Environmental Service Systems,"project management_372,communication_176,civil engineering_146,project engineering_141,autocad_135,problem solving_122,engineering_121,scheduling_110,mechanical engineering_108,communication skills_102"
"Environmental Science and Protection Technicians, Including Health","Agriculture, Food & Natural Resources",Environmental Service Systems,"data analysis_13,teamwork_13,communication skills_8,attention to detail_8,communication_8,problem solving_7,documentation_7,troubleshooting_6,record keeping_6,standard operating procedures_6"
Hazardous Materials Removal Workers,"Agriculture, Food & Natural Resources",Environmental Service Systems,"communication_6,teamwork_5,hazardous waste management_3,microsoft excel_3,reliable transportation_3,critical thinking_3,data analysis_3,chemical transloading_2,chemical neutralization_2,decontamination_2"
Pest Control Workers,"Agriculture, Food & Natural Resources",Environmental Service Systems,"customer service_671,valid driver's license_531,communication_391,ability to work at heights_364,troubleshooting_319,ability to lift heavy objects_315,communication skills_283,teamwork_260,problemsolving_259,travel_257"
